DateTime,Players
25/01/2015,371266
26/01/2015,360648
27/01/2015,385217
28/01/2015,380640
29/01/2015,397712
30/01/2015,437368
31/01/2015,434024
01/02/2015,455508
02/02/2015,384373
03/02/2015,346986
04/02/2015,374310
05/02/2015,401791
06/02/2015,401791
07/02/2015,401791
08/02/2015,401791
09/02/2015,401791
10/02/2015,159873
11/02/2015,103924
12/02/2015,103924
13/02/2015,419184
14/02/2015,431744
15/02/2015,384755
16/02/2015,
17/02/2015,398868
18/02/2015,395553
19/02/2015,423817
20/02/2015,442763
21/02/2015,454373
22/02/2015,406052
23/02/2015,400112
24/02/2015,337230
25/02/2015,
26/02/2015,
27/02/2015,
28/02/2015,
01/03/2015,595439
02/03/2015,
03/03/2015,
04/03/2015,
05/03/2015,
06/03/2015,
07/03/2015,
08/03/2015,
09/03/2015,
10/03/2015,
11/03/2015,
12/03/2015,
13/03/2015,
14/03/2015,
15/03/2015,
16/03/2015,
17/03/2015,
18/03/2015,
19/03/2015,
20/03/2015,
21/03/2015,
22/03/2015,
23/03/2015,
24/03/2015,
25/03/2015,
26/03/2015,
27/03/2015,
28/03/2015,
29/03/2015,
30/03/2015,
31/03/2015,
01/04/2015,568556
02/04/2015,
03/04/2015,
04/04/2015,
05/04/2015,
06/04/2015,
07/04/2015,
08/04/2015,
09/04/2015,
10/04/2015,
11/04/2015,
12/04/2015,
13/04/2015,
14/04/2015,
15/04/2015,
16/04/2015,
17/04/2015,
18/04/2015,
19/04/2015,551054
20/04/2015,509392
21/04/2015,505119
22/04/2015,502104
23/04/2015,501062
24/04/2015,521335
25/04/2015,568782
26/04/2015,569848
27/04/2015,524411
28/04/2015,518291
29/04/2015,512618
30/04/2015,524944
01/05/2015,511203
02/05/2015,552794
03/05/2015,579356
04/05/2015,518035
05/05/2015,519839
06/05/2015,514383
07/05/2015,514128
08/05/2015,552668
09/05/2015,538983
10/05/2015,548320
11/05/2015,513952
12/05/2015,497478
13/05/2015,502256
14/05/2015,500080
15/05/2015,530986
16/05/2015,562379
17/05/2015,571119
18/05/2015,537038
19/05/2015,515278
20/05/2015,513685
21/05/2015,516034
22/05/2015,545190
23/05/2015,541205
24/05/2015,545013
25/05/2015,552376
26/05/2015,508968
27/05/2015,681170
28/05/2015,630579
29/05/2015,614395
30/05/2015,600079
31/05/2015,631284
01/06/2015,578549
02/06/2015,569978
03/06/2015,587370
04/06/2015,582715
05/06/2015,558996
06/06/2015,511890
07/06/2015,579984
08/06/2015,573335
09/06/2015,570371
10/06/2015,566053
11/06/2015,553731
12/06/2015,544088
13/06/2015,546174
14/06/2015,591163
15/06/2015,589481
16/06/2015,586602
17/06/2015,604309
18/06/2015,582001
19/06/2015,558605
20/06/2015,551773
21/06/2015,583128
22/06/2015,611284
23/06/2015,594003
24/06/2015,599440
25/06/2015,588950
26/06/2015,542428
27/06/2015,517905
28/06/2015,568420
29/06/2015,575554
30/06/2015,539500
01/07/2015,541692
02/07/2015,522992
03/07/2015,491509
04/07/2015,463120
05/07/2015,506209
06/07/2015,544222
07/07/2015,528477
08/07/2015,546142
09/07/2015,543496
10/07/2015,498573
11/07/2015,471760
12/07/2015,531385
13/07/2015,535060
14/07/2015,514071
15/07/2015,522264
16/07/2015,510847
17/07/2015,470311
18/07/2015,458623
19/07/2015,514116
20/07/2015,513838
21/07/2015,505546
22/07/2015,504003
23/07/2015,503109
24/07/2015,468739
25/07/2015,461601
26/07/2015,505594
27/07/2015,523216
28/07/2015,509832
29/07/2015,511832
30/07/2015,507985
31/07/2015,487753
01/08/2015,456126
02/08/2015,509694
03/08/2015,499671
04/08/2015,502762
05/08/2015,491415
06/08/2015,490349
07/08/2015,464880
08/08/2015,453921
09/08/2015,510793
10/08/2015,516646
11/08/2015,503556
12/08/2015,503351
13/08/2015,494573
14/08/2015,477429
15/08/2015,495073
16/08/2015,546564
17/08/2015,549505
18/08/2015,527833
19/08/2015,545605
20/08/2015,654789
21/08/2015,635559
22/08/2015,655378
23/08/2015,819902
24/08/2015,649101
25/08/2015,632719
26/08/2015,614513
27/08/2015,610491
28/08/2015,578810
29/08/2015,575579
30/08/2015,629806
31/08/2015,574905
01/09/2015,555128
02/09/2015,564619
03/09/2015,570566
04/09/2015,587280
05/09/2015,629407
06/09/2015,653346
07/09/2015,650458
08/09/2015,583000
09/09/2015,581834
10/09/2015,570207
11/09/2015,615578
12/09/2015,639815
13/09/2015,647434
14/09/2015,611175
15/09/2015,594710
16/09/2015,632987
17/09/2015,613077
18/09/2015,725939
19/09/2015,725872
20/09/2015,720141
21/09/2015,644615
22/09/2015,621099
23/09/2015,668621
24/09/2015,629762
25/09/2015,670245
26/09/2015,698254
27/09/2015,708298
28/09/2015,630309
29/09/2015,614948
30/09/2015,605557
01/10/2015,589989
02/10/2015,663702
03/10/2015,709984
04/10/2015,698465
05/10/2015,609039
06/10/2015,617252
07/10/2015,627301
08/10/2015,601490
09/10/2015,663583
10/10/2015,693601
11/10/2015,676761
12/10/2015,635027
13/10/2015,626353
14/10/2015,614333
15/10/2015,592895
16/10/2015,659430
17/10/2015,692862
18/10/2015,672513
19/10/2015,603815
20/10/2015,587495
21/10/2015,609933
22/10/2015,605688
23/10/2015,667325
24/10/2015,701645
25/10/2015,650136
26/10/2015,595490
27/10/2015,585391
28/10/2015,717511
29/10/2015,695740
30/10/2015,709147
31/10/2015,732093
01/11/2015,786707
